Gene/Compound,Dataset,Correlation,other_entity_type
BI-2536 (GDSC1:60),Drug sensitivity AUC (Sanger GDSC1),0.134,compound_experiment
ENTINOSTAT (GDSC1:88),Drug sensitivity AUC (Sanger GDSC1),0.134,compound_experiment
SCH-58261 (BRD:BRD-K81225797-001-02-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.133,compound_experiment
JIB04 (BRD:BRD-K76180386-001-01-6),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.132,compound_experiment
afatinib (BRD:BRD-K66175015-001-09-0),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.132,compound_experiment
LY2109761 (GDSC2:1852),Drug sensitivity AUC (Sanger GDSC2),-0.132,compound_experiment
"CETUXIMAB, ERBITUX (GDSC1:1114)",Drug sensitivity AUC (Sanger GDSC1),0.131,compound_experiment
sotrastaurin (CTRP:661032),Drug sensitivity AUC (CTD^2),-0.131,compound_experiment
mitoquinone (BRD:BRD-K00003362-066-01-9),PRISM Repurposing Public 24Q2,-0.131,compound_experiment
GSK690693 (GDSC1:326),Drug sensitivity AUC (Sanger GDSC1),-0.13,compound_experiment
mavatrep (BRD:BRD-K00003237-001-01-9),PRISM Repurposing Public 24Q2,-0.13,compound_experiment
KPT-276 (BRD:BRD-K75352575-001-01-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.13,compound_experiment
U-0126 (BRD:BRD-K18787491-001-08-6),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.13,compound_experiment
flufenamic-acid (BRD:BRD-K44067360-001-30-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.13,compound_experiment
BICALUTAMIDE (GDSC1:150),Drug sensitivity AUC (Sanger GDSC1),0.129,compound_experiment
AZD3759 (GDSC2:1915),Drug sensitivity AUC (Sanger GDSC2),0.127,compound_experiment
nutlin-3 (CTRP:411722),Drug sensitivity AUC (CTD^2),-0.127,compound_experiment
MG-132 (CTRP:58948),Drug sensitivity AUC (CTD^2),-0.127,compound_experiment
bosutinib (BRD:BRD-K99964838-001-11-9),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.126,compound_experiment
MK-2206 (GDSC1:1053),Drug sensitivity AUC (Sanger GDSC1),-0.125,compound_experiment
AG-14361 (BRD:BRD-K00615600-001-12-9),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.125,compound_experiment
nitrocaramiphen (BRD:BRD-K28453807-003-11-2),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.125,compound_experiment
HG-5-113-01 (GDSC1:1142),Drug sensitivity AUC (Sanger GDSC1),0.123,compound_experiment
AZD7762 (BRD:BRD-K86525559-001-07-8),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.123,compound_experiment
mivobulin (BRD:BRD-K39576764-071-01-6),PRISM Repurposing Public 24Q2,-0.122,compound_experiment
GDC-0068 (BRD:BRD-K71480163-001-01-4),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.122,compound_experiment
PF-04217903 (BRD:BRD-K73319509-001-08-0),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.122,compound_experiment
"APO866, FK866 (GDSC2:1248)",Drug sensitivity AUC (Sanger GDSC2),-0.122,compound_experiment
triamterene (BRD:BRD-K92049597-001-20-8),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.121,compound_experiment
AFATINIB (GDSC1:1377),Drug sensitivity AUC (Sanger GDSC1),0.12,compound_experiment
"A-443654, KIN001-139 (GDSC1:86)",Drug sensitivity AUC (Sanger GDSC1),0.12,compound_experiment
SGC0946 (GDSC1:1264),Drug sensitivity AUC (Sanger GDSC1),-0.12,compound_experiment
sparfloxacin (BRD:BRD-K07612980-001-05-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.12,compound_experiment
vandetanib (CTRP:349002),Drug sensitivity AUC (CTD^2),0.12,compound_experiment
GSK-J4 (CTRP:687735),Drug sensitivity AUC (CTD^2),-0.119,compound_experiment
PEVONEDISTAT (GDSC2:1529),Drug sensitivity AUC (Sanger GDSC2),-0.119,compound_experiment
vaborbactam (BRD:BRD-K00003306-001-01-9),PRISM Repurposing Public 24Q2,0.119,compound_experiment
OF-1 (GDSC2:1853),Drug sensitivity AUC (Sanger GDSC2),-0.119,compound_experiment
ku-0063794 (BRD:BRD-K67566344-001-07-5),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.119,compound_experiment
R406 (BRD:BRD-K20285085-074-04-5),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.118,compound_experiment
KPT-185 (BRD:BRD-K71467466-001-02-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.118,compound_experiment
soblidotin (BRD:BRD-K00003174-001-01-9),PRISM Repurposing Public 24Q2,-0.118,compound_experiment
MRS-1220 (BRD:BRD-K37618799-001-03-0),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.118,compound_experiment
M-344 (BRD:BRD-K45528773-001-07-2),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.118,compound_experiment
dacomitinib (BRD:BRD-K57169635-001-04-5),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.117,compound_experiment
PD-173074 (GDSC2:1049),Drug sensitivity AUC (Sanger GDSC2),-0.116,compound_experiment
selinexor (BRD:BRD-K21361524-001-01-1),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.116,compound_experiment
cyproterone-acetate (BRD:BRD-K41141507-001-16-2),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.116,compound_experiment
FH535 (GDSC1:173),Drug sensitivity AUC (Sanger GDSC1),-0.116,compound_experiment
FTI-277 (GDSC1:166),Drug sensitivity AUC (Sanger GDSC1),0.116,compound_experiment
CBB-1007 (CTRP:687721),Drug sensitivity AUC (CTD^2),0.116,compound_experiment
saracatinib (BRD:BRD-K19540840-001-09-4),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.115,compound_experiment
AV-412 (BRD:BRD-K23190681-001-01-1),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.115,compound_experiment
SKLB-1028 (BRD:BRD-K00004690-001-01-9),PRISM Repurposing Public 24Q2,0.115,compound_experiment
azaguanine-8 (BRD:BRD-K53114651-001-12-7),PRISM Repurposing Public 24Q2,0.115,compound_experiment
cytochalasin B (CTRP:50163),Drug sensitivity AUC (CTD^2),0.114,compound_experiment
IOX2 (GDSC1:1230),Drug sensitivity AUC (Sanger GDSC1),-0.114,compound_experiment
BAY-87-2243 (BRD:BRD-K70463136-001-01-5),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.114,compound_experiment
tetrandrine (BRD:BRD-K08078237-001-19-8),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.114,compound_experiment
nutlin-3 (BRD:BRD-A12230535-001-06-7),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.114,compound_experiment
RP-54745 (BRD:BRD-K00073937-001-02-9),PRISM Repurposing Public 24Q2,-0.114,compound_experiment
Maduramicin ammonium - QC Failure (BRD:BRD-K00089584-201-01-9 - QC Failure),PRISM Repurposing Public 24Q2,-0.114,compound_experiment
semagacestat (CTRP:660341),Drug sensitivity AUC (CTD^2),0.113,compound_experiment
oligomycin A (CTRP:411869),Drug sensitivity AUC (CTD^2),-0.113,compound_experiment
FG-4592 (BRD:BRD-K14385366-001-04-4),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.113,compound_experiment
enoximone (BRD:BRD-K21152241-001-07-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.113,compound_experiment
norethindrone (BRD:BRD-K92073408-001-15-7),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.113,compound_experiment
NIM811 (BRD:BRD-K00003331-001-01-9),PRISM Repurposing Public 24Q2,0.113,compound_experiment
AZD1480 (CTRP:660306),Drug sensitivity AUC (CTD^2),-0.112,compound_experiment
"SABUTOCLAX, BI-97C1 (GDSC2:1849)",Drug sensitivity AUC (Sanger GDSC2),-0.112,compound_experiment
DIHYDROROTENONE (GDSC2:1827),Drug sensitivity AUC (Sanger GDSC2),-0.112,compound_experiment
Theliatinib (BRD:BRD-K00091285-001-01-9),PRISM Repurposing Public 24Q2,0.112,compound_experiment
acesulfame-potassium (BRD:BRD-K50850824-237-04-8),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.112,compound_experiment
fleroxacin (BRD:BRD-K61717546-001-05-0),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.112,compound_experiment
"WHI-P97, KIN001-055 (GDSC1:288)",Drug sensitivity AUC (Sanger GDSC1),0.112,compound_experiment
sograzepide (BRD:BRD-K00004608-001-01-9),PRISM Repurposing Public 24Q2,-0.111,compound_experiment
PHA-665752 (GDSC1:6),Drug sensitivity AUC (Sanger GDSC1),0.111,compound_experiment
carboxypyridine-disulfide (BRD:BRD-K26530649-001-01-6),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.111,compound_experiment
ZD-4190 (BRD:BRD-K00076465-001-02-9),PRISM Repurposing Public 24Q2,0.11,compound_experiment
chromocarb (BRD:BRD-K94720315-001-10-4),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.11,compound_experiment
gilteritinib (BRD:BRD-K72280606-001-01-2),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.11,compound_experiment
8-bromo-cGMP (BRD:BRD-A00077618-236-07-6),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.11,compound_experiment
nexturastat-a (BRD:BRD-K70402238-001-02-8),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.11,compound_experiment
poziotinib (BRD:BRD-K50010139-001-02-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.109,compound_experiment
polydatin (BRD:BRD-K43236057-001-07-1),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.109,compound_experiment
osimertinib (BRD:BRD-K42805893-001-04-9),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.109,compound_experiment
dacarbazine (BRD:BRD-K35520305-001-17-7),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.109,compound_experiment
OXALIPLATIN (GDSC2:1806),Drug sensitivity AUC (Sanger GDSC2),-0.109,compound_experiment
trimetrexate (BRD:BRD-K13642819-001-02-9),PRISM Repurposing Public 24Q2,-0.109,compound_experiment
SUNITINIB (GDSC1:5),Drug sensitivity AUC (Sanger GDSC1),0.108,compound_experiment
triciribine (BRD:BRD-K80431395-001-07-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.108,compound_experiment
norgestrel (BRD:BRD-A14886633-001-01-6),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.107,compound_experiment
diphenyleneiodonium (BRD:BRD-K65814004-003-02-9),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.107,compound_experiment
endo-IWR-1 (BRD:BRD-K61314889-001-04-4),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.107,compound_experiment
SR-1078 (BRD:BRD-K26501486-001-02-9),PRISM Repurposing Public 24Q2,0.107,compound_experiment
NRC-2694 (BRD:BRD-K00076493-001-02-9),PRISM Repurposing Public 24Q2,0.106,compound_experiment
florfenicol (BRD:BRD-A30886737-001-02-9),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.106,compound_experiment
methyldopa (BRD:BRD-K48578705-001-17-6),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.106,compound_experiment
colchicine (BRD:BRD-K00259736-001-16-4),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.106,compound_experiment
AZD8931 (BRD:BRD-K98572433-001-02-9),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.106,compound_experiment
walrycin-B (BRD:BRD-K01129913-001-01-5),PRISM Repurposing Public 24Q2,-0.106,compound_experiment
repotrectinib (BRD:BRD-K00003447-001-01-9),PRISM Repurposing Public 24Q2,0.106,compound_experiment
flutemetamol (BRD:BRD-K00071586-001-01-9),PRISM Repurposing Public 24Q2,-0.106,compound_experiment
WP1066 (BRD:BRD-K05445342-001-05-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.106,compound_experiment
prednisolone-acetate (BRD:BRD-A01643550-001-04-9),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.105,compound_experiment
LY2606368 (BRD:BRD-K20463415-300-01-4),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.105,compound_experiment
broxyquinoline (BRD:BRD-K23301018-001-11-7),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.105,compound_experiment
SCH-79797 (CTRP:375264),Drug sensitivity AUC (CTD^2),-0.105,compound_experiment
wortmannin (BRD:BRD-K87343924-001-16-9),PRISM Repurposing Public 24Q2,0.105,compound_experiment
BMS-536924 (GDSC1:62),Drug sensitivity AUC (Sanger GDSC1),0.105,compound_experiment
BGT226 (BRD:BRD-K29415052-050-04-8),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.104,compound_experiment
PF-4191834 (BRD:BRD-K00004633-001-01-9),PRISM Repurposing Public 24Q2,-0.104,compound_experiment
erlotinib (CTRP:52928),Drug sensitivity AUC (CTD^2),0.104,compound_experiment
BAY-8002 (BRD:BRD-K00005331-001-01-9),PRISM Repurposing Public 24Q2,-0.104,compound_experiment
marinopyrrole A (CTRP:666910),Drug sensitivity AUC (CTD^2),-0.104,compound_experiment
PRIMA-1 (CTRP:50131),Drug sensitivity AUC (CTD^2),-0.103,compound_experiment
LY2801653 (BRD:BRD-K18961567-001-01-1),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.103,compound_experiment
NSC-3852 (BRD:BRD-K13169950-001-14-4),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.103,compound_experiment
bis(maltolato)oxovanadium(IV) (BRD:BRD-K16180792-001-01-7),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.103,compound_experiment
ETP-46464 (BRD:BRD-K24556407-001-02-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.103,compound_experiment
parachlorophenol (BRD:BRD-K40992116-001-09-7),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.103,compound_experiment
CL-218872 (BRD:BRD-K00662280-001-09-4),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.103,compound_experiment
pomalidomide (BRD:BRD-A12994259-001-02-1),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.103,compound_experiment
MK-1775 (BRD:BRD-K54256913-001-08-7),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.103,compound_experiment
PD 153035 (CTRP:52133),Drug sensitivity AUC (CTD^2),0.103,compound_experiment
EVP4593 (BRD:BRD-K68395654-001-03-1),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.103,compound_experiment
alogliptin (BRD:BRD-K83003151-057-02-4),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.103,compound_experiment
S-111 (BRD:BRD-K60005752-001-01-9),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.103,compound_experiment
PIPERLONGUMINE (GDSC1:1243),Drug sensitivity AUC (Sanger GDSC1),0.103,compound_experiment
pyritinol (BRD:BRD-K82181219-001-04-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.102,compound_experiment
tofogliflozin (BRD:BRD-K96344439-002-02-7),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.102,compound_experiment
norepinephrine (BRD:BRD-K87349682-347-03-8),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.102,compound_experiment
pelitinib (BRD:BRD-K08799216-001-05-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.102,compound_experiment
bosutinib (CTRP:660346),Drug sensitivity AUC (CTD^2),0.102,compound_experiment
EHT 1864 (GDSC1:1069),Drug sensitivity AUC (Sanger GDSC1),-0.101,compound_experiment
cebranopadol (BRD:BRD-K48141473-001-01-7),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.101,compound_experiment
epinastine (BRD:BRD-A98990573-003-01-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.101,compound_experiment
MJ-15 (BRD:BRD-K71315565-001-02-9),PRISM Repurposing Public 24Q2,-0.101,compound_experiment
terbutaline (BRD:BRD-A50157456-065-20-6),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.101,compound_experiment
GALLIBISCOQUINAZOLE (GDSC2:1830),Drug sensitivity AUC (Sanger GDSC2),-0.101,compound_experiment
COTI-2 (BRD:BRD-K00003348-001-01-9),PRISM Repurposing Public 24Q2,-0.101,compound_experiment
CaCCinh-A01 (BRD:BRD-A90751343-001-02-9),PRISM Repurposing Public 24Q2,-0.101,compound_experiment
FSC231 (CTRP:660079),Drug sensitivity AUC (CTD^2),0.101,compound_experiment
GTP-14564 (BRD:BRD-K16664969-001-03-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.101,compound_experiment
KW-2478 (BRD:BRD-K41213548-001-02-0),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.1,compound_experiment
mephenytoin (BRD:BRD-A83937277-001-10-5),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.1,compound_experiment
YM-155 (BRD:BRD-K76703230-004-04-1),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.1,compound_experiment
AMUVATINIB (GDSC1:293),Drug sensitivity AUC (Sanger GDSC1),-0.1,compound_experiment
CD532 (GDSC1:449),Drug sensitivity AUC (Sanger GDSC1),-0.1,compound_experiment
AR-C155858 (BRD:BRD-K42325600-001-01-8),PRISM Repurposing Public 24Q2,-0.1,compound_experiment
nan (BRD:BRD-K70642949-001-03-7),PRISM Repurposing Public 24Q2,-0.1,compound_experiment
GSK-3-inhibitor-IX (BRD:BRD-K04923131-001-15-4),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.1,compound_experiment
AZD3463 (BRD:BRD-K24593301-001-02-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.099,compound_experiment
blebbistatin-(-) (BRD:BRD-K61295575-001-03-6),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.099,compound_experiment
SB-218078 (BRD:BRD-A06352508-001-03-7),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.099,compound_experiment
U-0126 (BRD:BRD-K91701654-001-03-1),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.099,compound_experiment
VINCRISTINE (GDSC2:1818),Drug sensitivity AUC (Sanger GDSC2),-0.099,compound_experiment
arctigenin (BRD:BRD-K53523901-001-04-4),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.099,compound_experiment
XMD11-85H (GDSC1:1158),Drug sensitivity AUC (Sanger GDSC1),0.098,compound_experiment
tannic-acid (BRD:BRD-K01584643-001-04-9),PRISM Repurposing Public 24Q2,-0.098,compound_experiment
azomycin-(2-nitroimidazole) (BRD:BRD-K26824830-001-02-0),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.098,compound_experiment
AGI-6780 (GDSC2:1634),Drug sensitivity AUC (Sanger GDSC2),-0.098,compound_experiment
BW-348U87 (BRD:BRD-K00004593-001-01-9),PRISM Repurposing Public 24Q2,-0.098,compound_experiment
GDC-0575 (BRD:BRD-K00003112-001-01-9),PRISM Repurposing Public 24Q2,0.098,compound_experiment
dianhydrogalactitol (BRD:BRD-K68502831-001-01-2),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.098,compound_experiment
PF-750 (CTRP:411719),Drug sensitivity AUC (CTD^2),-0.098,compound_experiment
UNC2250 (BRD:BRD-K01773560-001-02-4),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.098,compound_experiment
ON123300 (BRD:BRD-K88554883-001-03-2),PRISM Repurposing Public 24Q2,-0.098,compound_experiment
ibutilide (BRD:BRD-A74391928-051-01-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.098,compound_experiment
melphalan (BRD:BRD-K87827419-001-16-8),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.098,compound_experiment
WP1130 (BRD:BRD-K43644456-001-04-0),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.097,compound_experiment
AP1903 (BRD:BRD-K28383148-001-01-4),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.097,compound_experiment
BAY 2416964 (BRD:BRD-K00091085-001-01-9),PRISM Repurposing Public 24Q2,0.097,compound_experiment
7-hydroxystaurosporine (BRD:BRD-K45293975-001-02-0),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.097,compound_experiment
PD-81723 (BRD:BRD-K77951111-001-05-9),PRISM Repurposing Public 24Q2,-0.097,compound_experiment
BHQ (BRD:BRD-K95603879-001-08-9),PRISM Repurposing Public 24Q2,-0.097,compound_experiment
blebbistatin (CTRP:50140),Drug sensitivity AUC (CTD^2),0.097,compound_experiment
telotristat-ethyl (BRD:BRD-K94559059-091-01-6),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.097,compound_experiment
ONC201 (BRD:BRD-K58529924-001-01-5),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.097,compound_experiment
JNK INHIBITOR VIII (GDSC1:1043),Drug sensitivity AUC (Sanger GDSC1),0.096,compound_experiment
PD-173074 (GDSC1:1049),Drug sensitivity AUC (Sanger GDSC1),-0.096,compound_experiment
