Gene/Compound,Dataset,Correlation,other_entity_type
ziprasidone (BRD:BRD-K29582115-066-01-2),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.071,compound_experiment
QW-BI-011 (CTRP:362063),Drug sensitivity AUC (CTD^2),-0.071,compound_experiment
SRT-1720 (CTRP:411820),Drug sensitivity AUC (CTD^2),-0.071,compound_experiment
GSK3117391 (BRD:BRD-K00004614-001-01-9),PRISM Repurposing Public 24Q2,-0.071,compound_experiment
CP-471474 (BRD:BRD-K33234937-001-02-9),PRISM Repurposing Public 24Q2,-0.071,compound_experiment
bronopol (BRD:BRD-K33457401-001-02-9),PRISM Repurposing Public 24Q2,-0.071,compound_experiment
QL-VIII-58 (GDSC1:1166),Drug sensitivity AUC (Sanger GDSC1),0.071,compound_experiment
ERK5-IN-1 (BRD:BRD-K64857848-001-06-4),PRISM Repurposing Public 24Q2,-0.071,compound_experiment
firsocostat (BRD:BRD-K00003236-001-01-9),PRISM Repurposing Public 24Q2,-0.071,compound_experiment
VE-821 (BRD:BRD-K26756394-001-02-2),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.071,compound_experiment
Febantel (BRD:BRD-K00076917-001-02-9),PRISM Repurposing Public 24Q2,0.071,compound_experiment
ebastine (BRD:BRD-K13314656-001-01-0),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.07,compound_experiment
CYTARABINE (GDSC2:1006),Drug sensitivity AUC (Sanger GDSC2),-0.07,compound_experiment
isoliquiritigenin (CTRP:25393),Drug sensitivity AUC (CTD^2),-0.07,compound_experiment
JW-74 (CTRP:676728),Drug sensitivity AUC (CTD^2),-0.07,compound_experiment
CIL56 (CTRP:100490),Drug sensitivity AUC (CTD^2),0.07,compound_experiment
upadacitinib (BRD:BRD-K00003286-001-01-9),PRISM Repurposing Public 24Q2,-0.07,compound_experiment
PAC-1 (BRD:BRD-K92991072-001-04-9),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.07,compound_experiment
PF-4708671 (GDSC2:1129),Drug sensitivity AUC (Sanger GDSC2),-0.07,compound_experiment
THZ531 (BRD:BRD-K00104123-001-01-9),PRISM Repurposing Public 24Q2,0.07,compound_experiment
nastorazepide (BRD:BRD-K17295893-238-03-9),PRISM Repurposing Public 24Q2,-0.07,compound_experiment
atorvastatin (BRD:BRD-K69726342-238-05-9),PRISM Repurposing Public 24Q2,-0.07,compound_experiment
L-kynurenine (BRD:BRD-K20497775-001-06-9),PRISM Repurposing Public 24Q2,-0.07,compound_experiment
OXF-BD-02 (BRD:BRD-A73891132-001-02-9),PRISM Repurposing Public 24Q2,-0.07,compound_experiment
PDD-00017273 (BRD:BRD-K00021095-001-01-9),PRISM Repurposing Public 24Q2,0.07,compound_experiment
GSK1562590 (BRD:BRD-K36697397-003-02-9),PRISM Repurposing Public 24Q2,-0.07,compound_experiment
tioxolone (BRD:BRD-K41876534-001-13-7),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.07,compound_experiment
TMS (BRD:BRD-K96233303-001-01-9),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.07,compound_experiment
AEE788 (BRD:BRD-K40718343-001-02-6),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.07,compound_experiment
mitomycin (CTRP:50732),Drug sensitivity AUC (CTD^2),-0.07,compound_experiment
GSK3326595 (BRD:BRD-K00003421-001-01-9),PRISM Repurposing Public 24Q2,0.069,compound_experiment
AZD-0364 (BRD:BRD-K00091078-001-01-9),PRISM Repurposing Public 24Q2,0.069,compound_experiment
G-749 (BRD:BRD-K00003126-001-01-9),PRISM Repurposing Public 24Q2,-0.069,compound_experiment
ABT-418 (hydrochloride) (BRD:BRD-K00075715-003-02-9),PRISM Repurposing Public 24Q2,0.069,compound_experiment
BMS-345541 (GDSC1:203),Drug sensitivity AUC (Sanger GDSC1),-0.069,compound_experiment
riociguat (BRD:BRD-K84783599-001-01-0),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.069,compound_experiment
midostaurin (BRD:BRD-K13646352-001-03-8),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.069,compound_experiment
flumethasone (BRD:BRD-K61496577-001-20-2),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.069,compound_experiment
isonicotinohydroxamic acid (CTRP:478694),Drug sensitivity AUC (CTD^2),-0.069,compound_experiment
BRD-K28456706 (CTRP:651642),Drug sensitivity AUC (CTD^2),-0.069,compound_experiment
BRD-K01737880 (CTRP:438345),Drug sensitivity AUC (CTD^2),0.069,compound_experiment
AZD8330 (BRD:BRD-K37687095-001-06-9),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.069,compound_experiment
ZM-306416 (BRD:BRD-K41337261-001-03-0),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.069,compound_experiment
levocarnitine (BRD:BRD-K59647213-001-10-5),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.069,compound_experiment
licochalcone-a (BRD:BRD-K26011976-001-01-0),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.069,compound_experiment
bekanamycin (BRD:BRD-K73425385-065-04-8),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.069,compound_experiment
indirubin (BRD:BRD-K17894950-001-14-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.069,compound_experiment
morin (BRD:BRD-K11590034-002-03-4),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.069,compound_experiment
G-1 (BRD:BRD-K62696033-001-01-4),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.069,compound_experiment
VU0238429 (BRD:BRD-K24187789-001-01-7),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.069,compound_experiment
flumethasone-pivalate (BRD:BRD-A50064262-001-04-7),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.069,compound_experiment
DACTINOMYCIN (GDSC2:1811),Drug sensitivity AUC (Sanger GDSC2),-0.069,compound_experiment
S4 (BRD:BRD-K96798615-001-02-9),PRISM Repurposing Public 24Q2,0.068,compound_experiment
CD-437 (BRD:BRD-K28907958-001-04-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.068,compound_experiment
baricitinib (BRD:BRD-K53581288-001-02-9),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.068,compound_experiment
domiphen (BRD:BRD-K30431096-004-01-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.068,compound_experiment
palmitoylethanolamide (BRD:BRD-K68095457-001-10-1),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.068,compound_experiment
BRD-K75293299 (CTRP:438691),Drug sensitivity AUC (CTD^2),0.068,compound_experiment
masitinib (CTRP:606143),Drug sensitivity AUC (CTD^2),-0.068,compound_experiment
dexamethasone (CTRP:277354),Drug sensitivity AUC (CTD^2),-0.068,compound_experiment
CAY10618 (CTRP:632104),Drug sensitivity AUC (CTD^2),-0.068,compound_experiment
BRD-K49290616 (CTRP:414479),Drug sensitivity AUC (CTD^2),0.068,compound_experiment
sirolimus:bortezomib (250:1 mol/mol) (CTRP:660134),Drug sensitivity AUC (CTD^2),-0.068,compound_experiment
RITA (BRD:BRD-K00317371-001-06-1),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.068,compound_experiment
abiraterone-acetate (BRD:BRD-K24048528-001-02-5),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.068,compound_experiment
lusutrombopag (BRD:BRD-K93228461-001-02-9),PRISM Repurposing Public 24Q2,0.068,compound_experiment
leucovorin (BRD:BRD-A75919782-399-02-6),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.068,compound_experiment
AZD8055 (BRD:BRD-K69932463-001-10-6),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.068,compound_experiment
tacedinaline (BRD:BRD-K52313696-001-12-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.068,compound_experiment
GNF-7 (BRD:BRD-K69075588-001-02-9),PRISM Repurposing Public 24Q2,0.068,compound_experiment
Ro-04-5595 (BRD:BRD-A63546914-003-02-0),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.068,compound_experiment
imirestat (BRD:BRD-K00003208-001-01-9),PRISM Repurposing Public 24Q2,0.068,compound_experiment
Brofaromine (BRD:BRD-K00076468-001-02-9),PRISM Repurposing Public 24Q2,-0.068,compound_experiment
R-268712 (BRD:BRD-K83904070-001-02-9),PRISM Repurposing Public 24Q2,0.068,compound_experiment
darifenacin (BRD:BRD-K95773607-004-03-8),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.068,compound_experiment
TRAMETINIB (GDSC1:1372),Drug sensitivity AUC (Sanger GDSC1),0.067,compound_experiment
TP-3654 (BRD:BRD-K00005239-001-01-9),PRISM Repurposing Public 24Q2,0.067,compound_experiment
KME-4 (BRD:BRD-K00004747-001-01-9),PRISM Repurposing Public 24Q2,0.067,compound_experiment
HA-130 (BRD:BRD-K64452997-001-02-9),PRISM Repurposing Public 24Q2,-0.067,compound_experiment
Deprodone propionate (BRD:BRD-K00090631-001-01-9),PRISM Repurposing Public 24Q2,-0.067,compound_experiment
LTX-315 (BRD:BRD-K00003300-001-01-9),PRISM Repurposing Public 24Q2,0.067,compound_experiment
halofuginone (BRD:BRD-K54247840-004-01-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.067,compound_experiment
crizotinib (BRD:BRD-K78431006-001-15-1),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.067,compound_experiment
tilmicosin (BRD:BRD-K26634012-001-04-9),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.067,compound_experiment
xilobam (BRD:BRD-K79633074-001-01-8),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.067,compound_experiment
frentizole (BRD:BRD-K07202345-001-19-4),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.067,compound_experiment
AZD1480 (BRD:BRD-K65928735-001-04-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.067,compound_experiment
MK-0773 (BRD:BRD-K38868394-001-01-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.067,compound_experiment
enocitabine (BRD:BRD-K32007074-001-02-9),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.067,compound_experiment
LFM-A13 (GDSC1:192),Drug sensitivity AUC (Sanger GDSC1),0.067,compound_experiment
torin-1 (BRD:BRD-K40175214-001-11-6),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.067,compound_experiment
doxorubicin (CTRP:36599),Drug sensitivity AUC (CTD^2),-0.067,compound_experiment
tanespimycin:gemcitabine (1:1 mol/mol) (CTRP:660216),Drug sensitivity AUC (CTD^2),-0.067,compound_experiment
navitoclax:gemcitabine (1:1 mol/mol) (CTRP:660225),Drug sensitivity AUC (CTD^2),-0.066,compound_experiment
scriptaid (BRD:BRD-K22503835-001-11-0),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.066,compound_experiment
rifampin (BRD:BRD-K01507359-001-22-9),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.066,compound_experiment
GSK461364 (CTRP:649862),Drug sensitivity AUC (CTD^2),-0.066,compound_experiment
SB-612111 (BRD:BRD-K08333979-003-02-9),PRISM Repurposing Public 24Q2,0.066,compound_experiment
Neu2000 (BRD:BRD-K00003470-001-01-9),PRISM Repurposing Public 24Q2,0.066,compound_experiment
furamidine (BRD:BRD-K77758223-300-02-9),PRISM Repurposing Public 24Q2,-0.066,compound_experiment
tomivosertib (BRD:BRD-K00003361-001-01-9),PRISM Repurposing Public 24Q2,0.066,compound_experiment
LY404187 (BRD:BRD-A50062753-001-02-9),PRISM Repurposing Public 24Q2,-0.066,compound_experiment
Enarodustat (BRD:BRD-K00090634-001-01-9),PRISM Repurposing Public 24Q2,0.066,compound_experiment
Mobocertinib (BRD:BRD-K00069020-001-02-9),PRISM Repurposing Public 24Q2,0.066,compound_experiment
bamaquimast (BRD:BRD-K00003411-001-01-9),PRISM Repurposing Public 24Q2,0.066,compound_experiment
EC5026 (BRD:BRD-K00091074-001-01-9),PRISM Repurposing Public 24Q2,-0.066,compound_experiment
Tecarfarin (BRD:BRD-K00079520-001-02-9),PRISM Repurposing Public 24Q2,0.066,compound_experiment
TU-2100 (BRD:BRD-K44590731-001-01-7),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.066,compound_experiment
LDN-193189 (GDSC1:478),Drug sensitivity AUC (Sanger GDSC1),0.066,compound_experiment
dabrafenib (CTRP:687954),Drug sensitivity AUC (CTD^2),-0.066,compound_experiment
alexidine (BRD:BRD-A27883417-300-01-6),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.066,compound_experiment
SAR131675 (BRD:BRD-K38904395-001-02-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.066,compound_experiment
RS-16566 (BRD:BRD-K80725821-300-02-9),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.066,compound_experiment
lomefloxacin (BRD:BRD-A75850590-213-01-0),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.066,compound_experiment
ERLOTINIB (GDSC2:1168),Drug sensitivity AUC (Sanger GDSC2),0.066,compound_experiment
PU-H71 (BRD:BRD-K36529613-001-02-6),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.066,compound_experiment
"JW-7-52-1, NA (GDSC1:83)",Drug sensitivity AUC (Sanger GDSC1),0.066,compound_experiment
carbarsone (BRD:BRD-K94848716-001-12-9),PRISM Repurposing Public 24Q2,0.065,compound_experiment
SNX-5422 (BRD:BRD-K73197500-001-02-2),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.065,compound_experiment
PD-168393 (BRD:BRD-K17702546-001-03-2),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.065,compound_experiment
BRD9647 (CTRP:37479),Drug sensitivity AUC (CTD^2),0.065,compound_experiment
WZ3105 (GDSC1:252),Drug sensitivity AUC (Sanger GDSC1),-0.065,compound_experiment
fumonisin B1 (CTRP:616353),Drug sensitivity AUC (CTD^2),0.065,compound_experiment
OLAPARIB (GDSC1:1495),Drug sensitivity AUC (Sanger GDSC1),0.065,compound_experiment
neratinib (CTRP:418038),Drug sensitivity AUC (CTD^2),0.065,compound_experiment
acrylate (BRD:BRD-M00184283-001-01-1),PRISM Repurposing Public 24Q2,-0.065,compound_experiment
atractylenolide-i (BRD:BRD-K00003732-001-01-9),PRISM Repurposing Public 24Q2,-0.065,compound_experiment
BMS-536924 (BRD:BRD-K34581968-001-04-6),PRISM Repurposing Public 24Q2,0.065,compound_experiment
LGX818 (BRD:BRD-A56085258-001-01-8),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.065,compound_experiment
cinromide (BRD:BRD-K66241279-001-01-8),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.065,compound_experiment
PF-3845 (BRD:BRD-K68997413-001-05-1),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.065,compound_experiment
prednisolone (BRD:BRD-A27887842-001-04-0),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.065,compound_experiment
BMS-626529 (BRD:BRD-K97883416-001-01-4),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.065,compound_experiment
methylparaben (BRD:BRD-K78321730-001-13-9),PRISM Repurposing Public 24Q2,-0.065,compound_experiment
SB-590885 (BRD:BRD-K78809024-001-05-7),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.065,compound_experiment
AT7867 (BRD:BRD-K12040459-001-06-0),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.065,compound_experiment
pirenperone (BRD:BRD-K25224017-001-25-0),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.065,compound_experiment
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine (BRD:BRD-K47337578-034-02-5),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.065,compound_experiment
sangivamycin (BRD:BRD-A64064900-001-02-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.065,compound_experiment
paclitaxel (BRD:BRD-K62008436-001-23-9),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.065,compound_experiment
GNE-7915 (BRD:BRD-K33963447-001-03-9),PRISM Repurposing Public 24Q2,0.065,compound_experiment
nicodicosapent (BRD:BRD-K00003262-001-01-9),PRISM Repurposing Public 24Q2,-0.065,compound_experiment
D-3263 (BRD:BRD-K00003205-003-01-9),PRISM Repurposing Public 24Q2,-0.065,compound_experiment
BTB06584 (BRD:BRD-K37933329-001-03-9),PRISM Repurposing Public 24Q2,0.065,compound_experiment
CIL70 (CTRP:183526),Drug sensitivity AUC (CTD^2),-0.064,compound_experiment
NVP-BEZ235 (CTRP:348992),Drug sensitivity AUC (CTD^2),-0.064,compound_experiment
NSC-319726 (BRD:BRD-K99170882-001-04-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.064,compound_experiment
LY-2183240 (CTRP:375496),Drug sensitivity AUC (CTD^2),-0.064,compound_experiment
brivanib (CTRP:606246),Drug sensitivity AUC (CTD^2),-0.064,compound_experiment
BRD-A02303741 (CTRP:659371),Drug sensitivity AUC (CTD^2),-0.064,compound_experiment
decitabine (CTRP:347775),Drug sensitivity AUC (CTD^2),-0.064,compound_experiment
AXITINIB (GDSC1:1021),Drug sensitivity AUC (Sanger GDSC1),-0.064,compound_experiment
I-BRD9 (GDSC2:1928),Drug sensitivity AUC (Sanger GDSC2),-0.064,compound_experiment
"1S,3R-RSL-3 (CTRP:609060)",Drug sensitivity AUC (CTD^2),0.064,compound_experiment
LB42708 (BRD:BRD-K18834913-001-01-1),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.064,compound_experiment
LY2109761 (BRD:BRD-K47557313-001-02-7),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.064,compound_experiment
erlotinib (BRD:BRD-K70401845-003-09-6),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.064,compound_experiment
colfosceril-palmitate (BRD:BRD-A95886749-001-03-5),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.064,compound_experiment
uridine (BRD:BRD-K13050303-001-17-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.064,compound_experiment
RGFP966 (BRD:BRD-K61688984-001-02-9),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.064,compound_experiment
Repligen 136 (CTRP:628408),Drug sensitivity AUC (CTD^2),-0.064,compound_experiment
I-BET151 (BRD:BRD-K36363294-001-04-2),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.064,compound_experiment
fumonisin-B1 (BRD:BRD-K61915943-001-02-9),PRISM Repurposing Public 24Q2,0.064,compound_experiment
COH29 (BRD:BRD-K00003307-001-01-9),PRISM Repurposing Public 24Q2,-0.064,compound_experiment
micafungin (BRD:BRD-K40407248-001-04-9),PRISM Repurposing Public 24Q2,-0.064,compound_experiment
HSR6071 (BRD:BRD-K00004745-001-01-9),PRISM Repurposing Public 24Q2,-0.064,compound_experiment
ATR inhibitor 2 (BRD:BRD-K00091072-001-01-9),PRISM Repurposing Public 24Q2,0.064,compound_experiment
sitravatinib (BRD:BRD-K00003238-001-01-9),PRISM Repurposing Public 24Q2,0.064,compound_experiment
Elamipretide (TFA) (BRD:BRD-K00079505-019-02-9),PRISM Repurposing Public 24Q2,-0.064,compound_experiment
calcium-levofolinate (BRD:BRD-K97009491-238-05-9),PRISM Repurposing Public 24Q2,0.064,compound_experiment
aminosalicylate (BRD:BRD-K80267133-325-22-9),PRISM Repurposing Public 24Q2,-0.064,compound_experiment
bendazol (BRD:BRD-K60379054-001-09-9),PRISM Repurposing Public 24Q2,-0.064,compound_experiment
BTK-IN-1 (BRD:BRD-K00003437-001-01-9),PRISM Repurposing Public 24Q2,0.064,compound_experiment
isopropyl-myristate (BRD:BRD-K13409143-001-01-9),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.063,compound_experiment
1-azakenpaullone (BRD:BRD-K03273112-001-01-8),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.063,compound_experiment
AZD5582 (BRD:BRD-K88767641-001-01-7),PRISM Repurposing Public 24Q2,0.063,compound_experiment
TL-2-105 (GDSC1:211),Drug sensitivity AUC (Sanger GDSC1),-0.063,compound_experiment
eprobemide (BRD:BRD-K17979676-001-01-2),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.063,compound_experiment
LENALIDOMIDE (GDSC1:1020),Drug sensitivity AUC (Sanger GDSC1),-0.063,compound_experiment
3PO (BRD:BRD-K58413118-001-01-8),PRISM Repurposing Public 24Q2,0.063,compound_experiment
imisopasem-manganese (BRD:BRD-K00003154-001-01-9),PRISM Repurposing Public 24Q2,-0.063,compound_experiment
buramate (BRD:BRD-K30360804-001-02-9),PRISM Repurposing Public 24Q2,-0.063,compound_experiment
gefitinib (BRD:BRD-K64052750-001-22-5),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.063,compound_experiment
UPROSERTIB (GDSC2:1553),Drug sensitivity AUC (Sanger GDSC2),-0.063,compound_experiment
EDO-S101 (BRD:BRD-K00003432-001-01-9),PRISM Repurposing Public 24Q2,-0.063,compound_experiment
tivantinib (BRD:BRD-K33379087-001-07-5),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.063,compound_experiment
SNX-2112 (BRD:BRD-K71281111-001-04-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.063,compound_experiment
PF-573228 (BRD:BRD-K79239947-001-06-8),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.063,compound_experiment
SR-33805 (BRD:BRD-K43002771-034-01-6),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.063,compound_experiment
BCTC (BRD:BRD-K66541497-001-02-9),PRISM Repurposing Public 24Q2,0.063,compound_experiment
atenolol-(-) (BRD:BRD-K44993696-001-12-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.063,compound_experiment
PR-619 (BRD:BRD-K54395039-001-01-7),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.063,compound_experiment
PHP-501 (BRD:BRD-K07460388-019-02-9),PRISM Repurposing Public 24Q2,0.063,compound_experiment
satraplatin (BRD:BRD-K42497885-001-01-1),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.063,compound_experiment
IACS-10759 (BRD:BRD-K00003105-003-01-9),PRISM Repurposing Public 24Q2,-0.063,compound_experiment
vorinostat (CTRP:56554),Drug sensitivity AUC (CTD^2),-0.063,compound_experiment
AT-7519 (BRD:BRD-K13390322-001-06-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.063,compound_experiment
AMG458 (BRD:BRD-K21782625-001-02-4),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.063,compound_experiment
ponatinib (BRD:BRD-K44227013-001-06-4),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.063,compound_experiment
pibenzimol (BRD:BRD-K17026858-001-01-2),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.063,compound_experiment
tamatinib (CTRP:417818),Drug sensitivity AUC (CTD^2),0.063,compound_experiment
FGIN-1-27 (CTRP:61775),Drug sensitivity AUC (CTD^2),0.063,compound_experiment
SZ4TA2 (CTRP:688138),Drug sensitivity AUC (CTD^2),0.063,compound_experiment
"DMOG, DIMETHYLOXALYLGLCINE (GDSC1:165)",Drug sensitivity AUC (Sanger GDSC1),0.063,compound_experiment
S15535 (BRD:BRD-K00004653-001-01-9),PRISM Repurposing Public 24Q2,0.063,compound_experiment
Netarsudil mesylate (BRD:BRD-K00029607-334-02-9),PRISM Repurposing Public 24Q2,-0.063,compound_experiment
BAY-60-7550 (BRD:BRD-K86932920-001-02-9),PRISM Repurposing Public 24Q2,-0.062,compound_experiment
diquafosol (BRD:BRD-K00003514-342-01-9),PRISM Repurposing Public 24Q2,-0.062,compound_experiment
EF5 (BRD:BRD-K00004643-001-01-9),PRISM Repurposing Public 24Q2,-0.062,compound_experiment
DABRAFENIB (GDSC1:1373),Drug sensitivity AUC (Sanger GDSC1),-0.062,compound_experiment
GSK461364 (BRD:BRD-K92428232-001-10-6),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.062,compound_experiment
CEP-32496 (BRD:BRD-K20722021-001-02-1),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.062,compound_experiment
D-7193 (BRD:BRD-K32372024-001-01-0),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.062,compound_experiment
pluripotin (CTRP:411833),Drug sensitivity AUC (CTD^2),0.062,compound_experiment
ML162 (CTRP:154846),Drug sensitivity AUC (CTD^2),0.062,compound_experiment
dabrafenib (BRD:BRD-K09951645-001-11-8),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.062,compound_experiment
TAS-103 (BRD:BRD-K09426783-300-01-0),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.062,compound_experiment
zaleplon (BRD:BRD-K92657060-001-05-7),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.062,compound_experiment
tideglusib (BRD:BRD-K81330143-001-04-8),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.062,compound_experiment
sevoflurane (BRD:BRD-K05638300-001-01-2),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.062,compound_experiment
fosbretabulin (BRD:BRD-K06814349-304-01-9),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.062,compound_experiment
fluocinolone-acetonide (BRD:BRD-K94353609-001-21-6),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.062,compound_experiment
thioproperazine (BRD:BRD-K08619574-334-05-4),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.062,compound_experiment
Imazodan (BRD:BRD-K96298462-001-08-9),PRISM Repurposing Public 24Q2,-0.062,compound_experiment
epigallocatechin-(-) (BRD:BRD-K27529556-001-04-9),PRISM Repurposing Public 24Q2,0.062,compound_experiment
PSB-1115 (BRD:BRD-K49027941-001-01-1),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.062,compound_experiment
palbociclib (BRD:BRD-K51313569-003-03-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.062,compound_experiment
hydroxocobalamin (BRD:BRD-K00003525-003-01-9),PRISM Repurposing Public 24Q2,-0.062,compound_experiment
LY2603618 (BRD:BRD-K14109347-001-03-4),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.062,compound_experiment
nefiracetam (BRD:BRD-K65678996-001-05-5),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.061,compound_experiment
bifemelane (BRD:BRD-K18779551-003-07-8),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.061,compound_experiment
BI-D1870 (BRD:BRD-A81370665-001-03-6),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.061,compound_experiment
L-689560 (BRD:BRD-K74284736-001-04-9),PRISM Repurposing Public 24Q2,-0.061,compound_experiment
Merck60 (BRD:BRD-K04466929-001-12-9),PRISM Repurposing Public 24Q2,-0.061,compound_experiment
Zotatifin (BRD:BRD-K00090648-001-01-9),PRISM Repurposing Public 24Q2,0.061,compound_experiment
NCX-1015 (BRD:BRD-K00004749-001-01-9),PRISM Repurposing Public 24Q2,-0.061,compound_experiment
telratolimod (BRD:BRD-K00004596-001-01-9),PRISM Repurposing Public 24Q2,-0.061,compound_experiment
BMS-779788 (BRD:BRD-K00003305-001-01-9),PRISM Repurposing Public 24Q2,-0.061,compound_experiment
OICR-9429 (BRD:BRD-K94083718-001-03-9),PRISM Repurposing Public 24Q2,0.061,compound_experiment
